X,Y,Name,Description
7.5927933,47.5595776,Antonierhof-Brunnen,"<img src=""https://doc-14-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/0uic985bangnb74fgbp9tuijak/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALpTIjktM-VkMfC8ZPiT-UCCiOyc0svsEYFeA2ZkHaM-btUtqc91UxSaeoUvWaDIMBt4qQjri979Y8bPFkxYBgeXXcjScCXfDkhljZwas-vxd2pH0KLaCccB5R1HQ_Eh0We-FVnEApb3IikWdM8hqif7iN-ztlkVg7GF3N4PbZHRk3F0yxl96c6Ug-Q2FbckI-ECy0pyWLgRHpQRzFn7sVCyzh1LjXK4dpFv5Nz66Csxz598YL-K-o8u3WY97fh36y_xzncH93XsTr97wbXSQvvDOhOG2g?fife"" height=""200"" width=""auto"" /><br><br>Rheingasse (Foto Christian Lienhard, Basel)"
7.595505,47.5309589,Brunnen im Bruderholzschulhaus,"<img src=""https://doc-0c-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/b94p5vptoo0uligjd6v7kjbobs/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALoDxEpWxnoqBPzGrCbvvE_rL2Oz2M9-y9CzCH6EDR--qj8zF8rcfkKvpEApZsY0_DqX6B71yI51cNnlC-bsdPCz_Wxw__HxkZtBcpL8YODDIZzSKMR7gHt943k8nZdhHBN5ERorsI_2NxGwR-gRuxccjSut00JXTBGliSVmvW796s5aewE3RAbKTaGIv7tgESoG67Hbzn1hxiZAQMEE0CXycdMBYD9iDO-bUPC1W3A2Okak1aymTM9FDYG-Wiko9Gb1vWTeJvT_gZnRzkEKraLttWC7NA?fife"" height=""200"" width=""auto"" /><br><br>Fritz Hauser-Strasse 20 (Foto Christian Lienhard, Basel)"
7.5845602,47.5636039,Faule Magd-Brunnen,"<img src=""https://doc-0c-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/g0v926cau5cbsste5fluabjdhc/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALr-xoeMvAh71s7YRQ6MPKid4UXaAO05Xk5u4qBHUl2WTigqrIrj0RbyPPhGbHRGvMwc-k_g3ysenm83W5vAAGj-0E4z7tzu4uXvqpGv6rPs8iqtHGwzGfDU5zZPGE_l2VoP9NtGIwGSFW2TCvxMqyQmtXU10NGg-1w1DfiwbRjdfZQP3eavImcZyF1duVt6VwUKYWOoYUCyG-pPXWeFTQpa11t52LSD0HDmvFiKYLhJxY0-wuXU5SnyYVC9t5j4RJsqVfT3ikvaW9lru1Va0My21b4c6w?fife"" height=""200"" width=""auto"" /><br><br>St. Johanns-Vorstadt (Foto Christian Lienhard, Basel)"
7.5864069,47.5564634,Gemsberg-Brunnen,"<img src=""https://doc-0s-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/u1g41gcolqk7ktmdoh6sn9cco8/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALr2PsTp0gu1U88aSF1WV8NTrvgYm9hAnvDtpMgHsN0393lDXNKInNsdILkpNqgAARyFXV1KG74oQPifn-z1AsIcWDnlVe5d3pMsOerXT24IdaDmSYk0WPpAe6rjTjyau-VL_RuId1onyzWhBmzBDVAdBqwBABX3YvH4nQclTcwAWmoSBTkq3k3d-cjd4CC8mxhzVOqATygT046hK8ZLfGRSs4VyBMtyhMpLn7NqGpuWsD0P_8UGs8vGS0u9kZ20fDY7fILGSqhs9sEH7MF-luL4_pveNg?fife"" height=""200"" width=""auto"" /><br><br>Gemsberg (Foto Christian Lienhard, Basel)"
7.584292,47.559422,Grabeneck-Brunnen,"<img src=""https://doc-00-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/fb8u6v5bngj32f7fogtsn21aho/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALq6--Vdnpqs0qI6D4azgtvbzA5jxlQsIYxXXZX425rZ-OnDHiBhs3mIBlYa5hPTU0mVHf9wu5wneblYLjonhuYpNkiOValyYGDlK2KcrUi2o0QY96ueWU0sYergwD78EY2R5nm7eeQ6vuIEerxtYnk-iJN0PRXhKcsUPZS53b6XSGoOg143e3J7yq0wDpCO5nfYG5SSoabyGctDDXxfWTg17pCiGW4Wy6iPIHB6ZM2o7aaWbSUfSIwFvt3OR2TekAidhmYOXQyFec_hFa7YtYoYdpyVPg?fife"" height=""200"" width=""auto"" /><br><br>Petersplatz / Petersgraben (Foto Christian Lienhard, Basel)"
7.5915487,47.5566852,Pisoni-Brunnen,"<img src=""https://doc-0s-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/de85oinvgk34lmftamrhkiajd4/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALqumkLZAeewT7YNTHJMG-xVEUUFTT9DzwNZNk4LUE-wiIoIrH5GNq2c38xWtHuEHAAOvJVPvfJ5CNkMA2GQcThN_6GktH77Gdy86G0Cr8U-znK2QI93rE5emrO05bAJxZm62vHlqXMU9rQbp_41r0caR_AlyX-L1DNV2AG8IoAYNz_qgbttJzkccEks7ZqWnuxGS8oB4VChoBB5odjbWlH8ineW-r989oaP12FFwsa6_Zc1F0vVaMv7XGJsSk7F47KDyDGGCputXFB3J2kYSQ6rQRj-zg?fife"" height=""200"" width=""auto"" /><br><br>Münsterplatz (Foto Christian Lienhard, Basel)"
7.5756137,47.5491627,Rütimeyer Brunnen,"<img src=""https://doc-10-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/i56v2a6dtpiamrqiust4c7613k/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALoIHcHVyYildT-6UBtKGpknUSR7hzkHL-l6viseUtpWxInRWKDn7onrKkFtqEF3EhUHFuMNo4BNiffRzn7gpZ8a9bMUu3Eei79uAGEpfkc9ZuGvDKKlrPdNm0uw1O-9KMA3BqBIMJtAjJiTh8ifh_Zd0OgNv8F_I451YY4XXvaDPxO7Yh6_K1qSf2KyWJEjcMXDAFsCFVwpe0RCiNuoNbH0RRG4NccbCmI9OBvLgKLxeoD3tOEV1pOGJQTnmgJnAKb2yDVA4cm2ppvDSAMHlZhG-vlEoQ?fife"" height=""200"" width=""auto"" /><br><br>Rütimeyer-Platz (Foto Christian Lienhard, Basel)"
7.5973865,47.5545619,Schöneck-Brunnen,"<img src=""https://doc-10-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/2qulttskedeivmf2njf8libubc/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALpkxJYK9bFMvwyXjoaKKZRmwWV_TZGP59oh1DCjDfCvKSyu_Y2YO03lyO5WWZjA6vJ_5jJt55D0uxuVMb9_GHN5wxRss0m371T5wIXx9IOrBpRUuCRGR7E_2OJXIqOVEbO9sSYcyJ7FP_dFETEBgR_MEkeH4N69TaNeaNtjHmPNQ7stoKTUGIxBIAAyKE4g95xDq8feH7kkn4xumqFqEbYHCONngnC4a363Pw7Ro5AKtFVQoVS0niZ8W6B6FWW9NGjtIXYqEgyHMnK8LcycwGFfuFaCIQ?fife"" height=""200"" width=""auto"" /><br><br>St. Alban-Vorstadt / Mühlenberg (Foto Christian Lienhard, Basel)"
7.5887686,47.5587034,Sevogel-Brunnen,"<img src=""https://doc-04-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/pv92vet792tqs4u00vhcn83sgg/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALpilsSeHEPV12A6CEc9FDnqpixHztC3KaGGKAwVZtd46b1r_FylkGpEpi2sJFF_VBLjypqcBJLa_TCQ0R76pjxdWwSHpD27lWFx39MU70xKy3zkkPs2v57PAtSr6q18vq175mTPmZHa9X6me0ZGzkAj1VCMXC47k4PXzWYqsG68ECSo67YSiZQwoz_GF9ww-UQob_6uQF3AeJ38Gm14K4i0d8ExLB6HgmIBiPxNjTmOfAYgE7Zf1TweOjbvzjn7v_obCj1Y6PEyeBsd3c-K1qVtbi8jWw?fife"" height=""200"" width=""auto"" /><br><br>Martinskirchplatz (Foto Christian Lienhard, Basel)"
7.6098762,47.5584237,Solitude Planschbecken,"<img src=""https://doc-00-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/94pdl8vtd3bu9frhmg00909h6c/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALpHUsFNMBh81PpIHsxg_X-RkryN0KnlTkGNESDprMIyDPi1kOnZdkxnD2i70IpM37LYvBRbSHGmmbYomnkCCH7ytq-5SYgemN6Bn7ezIMbeOvC2QzTdOa5W4rBrfPQfoeXw6WwCdz7zaDBkwf1FPTn9p0pHi2lFmwpiTQlYF9YIL3YgS0rZTFBqcKpCIQqIUNKS3bqQlb__S_ZqVTFgUoMnrOiV4OH62M_HpNPdlbao3ZE8P6BT_VW-fo7UG1O-jf__sOMlar4cNWnRpW9u9Mlxg_qzoQ?fife"" height=""200"" width=""auto"" /><br><br>Parkanlage Solitude (Foto Christian Lienhard, Basel)"
7.5900145,47.5704258,Spritz-Brunnen,"<img src=""https://doc-10-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/kb5fc11jcr6p2f5ulgtqa1qi9s/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALp0ln1ne4wOwnLGNW-pZ62vMIRAvlKw-XfBOc2_2drhAEOhO5nvKhlYr-SsH3mqoeET4eN-dlt1_VIbrbWxmjHTXHQhszvM-GMx9TL97zLU3xH3NUIZOyn3TdM_3EwBaMrsWrYa9f0WznkZXjfPBWmKcldda6cRIeG_Zm8yqpR60sC7VvIJOgtVWgUJ0zXXC7Z0i0h2FRpqGN4hrlrq0DlyFLiqH0eyehRJKaX4-nnejp0VvR2wXLYqrYzy2rQbNFzIZVL39bnYZSTHNVBT9F5_1L7WOA?fife"" height=""200"" width=""auto"" /><br><br>Dreirosenanlage / Klybeckstrasse (Foto Christian Lienhard, Basel)"
7.5826585,47.558526,Stachelschützen-Brunnen,"<img src=""https://doc-04-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/brcj59f9vqet2cdtsf636ajdtg/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALpQXXgiFFs9mcdwAR98EFdlnRzHpJkB992nLXd_kaJXgh9NVm8U49xdl_M-ZhthgAAF7NCL47HCO-DItXy9w__puh4SwFvR3nmwdHC4xhnRcSzJI4_eRQult9BnFTqI1F81lWxenKQbySHOsJ6OrXHEUcamUNbMQgvW766k46upex0oB-qgHJ3wVjzugFZZCixTVAbCROMF6Q1L8jrBL7kmSV4EHxfR_651X7TlATMSNkORZC00ix8dmnwfvWkvNgucl3jR26mhjo2Z3EnvUoR96crxBg?fife"" height=""200"" width=""auto"" /><br><br>Petersplatz / Spalengraben"
7.5869407,47.5611107,St. Urban-Brunnen,"<img src=""https://doc-04-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/p48b7h8n0dckrji51gs8n3i5d8/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALoiJmd0vf3FXHxZsNfXrBXe4JXFuv67EmG-D-vCh-vnUPJ0z1V8cf4H8fuaZvqVtS2BAt0q0gUhRl4Hkax3mLE1p7tVEvElaC1ax9Ek82NGIjTG_-ARtORL0b8u4tpQDeyjmD6unTNEvasqt0BGG93pu6jXVqk6ddN_gbKQyJDfLJCyoebkL8nBRhjV026y-1i2Wz75XA8hQa_tyPlFYa99V2GLygRNTgvF3r3j3rHLu30PbDcXsOdqSx_mkgko0VGIA2yB9eVmENUw4RDJIuGXzvXDOQ?fife"" height=""200"" width=""auto"" /><br><br>Blumenrain (Foto Christian Lienhard, Basel)"
7.5613417,47.5626211,Planschbecken,"<img src=""https://doc-04-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/980eeneudt07ccu6qdnklceou4/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALqMy6ZD6TVCiGVqxDbwiWDAeWvqE1dAszswaLPj0bF4Xn7lqLz_8n5O9tM01D6I_WIiPHLjYcNMmXwzCXZdlB9Pbak7yIufjqjZDnxpndjPffQxepS157U5tNIg220uE42pxlfacdTi_THkIeND_uEPyg3Kvee9Hnu3t7teVG1nrIonwnQlg9lHfuWK9yq9CXi9fYc5tt8lt3CC9f2o3H_HXAGRFr4uoOfUchNVFfr78ykK0X97WpR2OG3Yb2-BFKKm5N4b5gtKDutqpcLP_5Nsgfwpeg?fife"" height=""200"" width=""auto"" /><br><br>Welschmattstrasse (Kindergarten) (Foto Christian Lienhard, Basel)"
7.5740674,47.55292,Seelöwe-Planschbecken ,"<img src=""https://doc-0c-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/ko6do9us0n28ju482guo05p1rk/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALqZWiFMXI0wtw9mt_MBpw6eM0M-QIWFSpfMxDEt7j-wuwsCiaWkj6-r2l_86u5VJh0N2dFRxBT9giyM4SzCtXlT7ovGGgCQo-OnjoN7n1ITJjMBlC1zLAgqyODsjM18iWC5olNUo3GhWXMZDW7UOQVN51llIO_BFxM7KEKwuuv8-3J0sxNoCb2NeOF4jxA2lXsESyMZE7Vzf1jAKiBBOdcW1FoKtkxvMurg08IhKvV8I-jgpUrLIu6ughtCGqYH5NgY4HXdlo6UwkjNQbqD1H6PdNXOyQ?fife"" height=""200"" width=""auto"" /><br><br>Schützenmattpark (Foto Christian Lienhard, Basel)"
